Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
beige-basic-oversized-tee,Beige Basic Oversized Tee,"<article class=""text-token-text-primary w-full focus:outline-none scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" data-turn-id=""request-WEB:0838d10a-7284-481a-8896-d4d6a43b2164-13"" data-testid=""conversation-turn-28"" data-scroll-anchor=""true"" data-turn=""assistant"" tabindex=""-1"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:--spacing(4)] @[37rem]:[--thread-content-margin:--spacing(6)] @[72rem]:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:32rem] @[34rem]:[--thread-content-max-width:40rem] @[64rem]:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div data-message-author-role=""assistant"" data-message-id=""ceca8499-be92-40a7-bd47-8b144e62d91c"" dir=""auto"" class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-5"" data-message-model-slug=""gpt-5"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[3px]"">
<div class=""markdown prose dark:prose-invert w-full break-words light markdown-new-styling"">
<p data-start=""146"" data-end=""321"">our no-effort, clean-look fix. This cocoa beige oversized tee brings warm tones and street calm in one solid piece. Throw on, step out, don’t overthink it.</p>
<p data-start=""323"" data-end=""345""><strong data-start=""323"" data-end=""343"">Product Details:</strong></p>
<ul data-start=""346"" data-end=""443"">
<li data-start=""346"" data-end=""367"">
<p data-start=""348"" data-end=""367"">Earthy beige tone</p>
</li>
<li data-start=""368"" data-end=""393"">
<p data-start=""370"" data-end=""393"">Oversized comfort fit</p>
</li>
<li data-start=""394"" data-end=""420"">
<p data-start=""396"" data-end=""420"">100% breathable cotton</p>
</li>
<li data-start=""421"" data-end=""443"">
<p data-start=""423"" data-end=""443"">Gender-neutral cut</p>
</li>
</ul>
<p data-start=""445"" data-end=""541"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""445"" data-end=""461"">Styling Tip:</strong><br data-start=""461"" data-end=""464"">Pairs best with black cargos and minimal sneakers for that chill-core energy.</p>
</div>
</div>
</div>
</div>
<div class=""flex min-h-[46px] justify-start""><br></div>
<div class=""mt-3 w-full empty:hidden"">
<div class=""text-center""><br></div>
</div>
</div>
</div>
</article>",TacT Lifestyle,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",true,Size,s,product.metafields.shopify.size,,,,,,,,500.0,shopify,3,deny,manual,560.00,699.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0621/4248/0454/files/3_14.jpg?v=1755380595,1,Beige Basic Oversized Tee TacT Lifestyle,false,Beige Basic Oversized Tee - TacT Lifestyle," our no-effort, clean-look fix. This cocoa beige oversized tee brings warm tones and street calm in one solid piece. Throw on, step out, don’t  - TacT Lifestyle",,,adult,,,,,,,,,,,adults,,beige,cotton,crew,s; m; l; xl,short,female; unisex; male,,,,,,,kg,,,active
beige-basic-oversized-tee,,,,,,,,,m,,,,,,,,,500.0,shopify,3,deny,manual,560.00,699.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0621/4248/0454/files/3_15.jpg?v=1755380874,2,Beige Basic Oversized Tee TacT Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
beige-basic-oversized-tee,,,,,,,,,l,,,,,,,,,500.0,shopify,3,deny,manual,560.00,699.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0621/4248/0454/files/3_16.jpg?v=1755381150,3,Beige Basic Oversized Tee TacT Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
beige-basic-oversized-tee,,,,,,,,,xl,,,,,,,,,500.0,shopify,3,deny,manual,560.00,699.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-basic-oversized-tee,Black Basic Oversized tee,"<p data-start=""174"" data-end=""389"">No prints, no noise—just pure blackout energy. This oversized black tee is your wardrobe's ride-or-die. Clean, comfy, and built to go with literally everything.</p>
<p data-start=""391"" data-end=""413""><strong data-start=""391"" data-end=""411"">Product Details:</strong></p>
<ul data-start=""414"" data-end=""517"">
<li data-start=""414"" data-end=""434"">
<p data-start=""416"" data-end=""434"">Jet black finish</p>
</li>
<li data-start=""435"" data-end=""460"">
<p data-start=""437"" data-end=""460"">Oversized comfort fit</p>
</li>
<li data-start=""461"" data-end=""486"">
<p data-start=""463"" data-end=""486"">100% cotton </p>
</li>
<li data-start=""487"" data-end=""517"">
<p data-start=""489"" data-end=""517"">Unisex &amp; everyday approved</p>
</li>
</ul>
<p data-start=""519"" data-end=""612"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""519"" data-end=""535"">Styling Tip:</strong><br data-start=""535"" data-end=""538"">Pair with distressed denims, silver chains.</p>",TacT Lifestyle,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"",Basic,true,Size,s,product.metafields.shopify.size,,,,,,,,500.0,shopify,3,deny,manual,560.00,699.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0621/4248/0454/files/3_9.jpg?v=1755379474,1,Black Basic Oversized tee TacT Lifestyle,false,Black Basic Oversized tee - TacT Lifestyle,"No prints, no noise—just pure blackout energy. This oversized black tee is your wardrobe's ride-or-die. Clean, comfy, and built to go with literally  - TacT Lifestyle",,,adult,,,,,,,,,,,adults,,black,cotton,crew,s; m; l; xl,short,unisex,,,,,,,kg,,,active
black-basic-oversized-tee,,,,,,,,,m,,,,,,,,,500.0,shopify,3,deny,manual,560.00,699.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0621/4248/0454/files/3_11.jpg?v=1755379191,2,Black Basic Oversized tee TacT Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-basic-oversized-tee,,,,,,,,,l,,,,,,,,,500.0,shopify,3,deny,manual,560.00,699.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0621/4248/0454/files/3_10.jpg?v=1755378911,3,Black Basic Oversized tee TacT Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
black-basic-oversized-tee,,,,,,,,,xl,,,,,,,,,500.0,shopify,3,deny,manual,560.00,699.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
central-perk-oversized-cropped-tee,Central Perk Regular Cropped Tee,"<p>Show off your love for the iconic coffeehouse with the <em data-start=""177"" data-end=""213"">Central Perk Oversized Cropped Tee</em>. This relaxed-fit, cropped design offers both comfort and style, making it perfect for casual outings or cozy coffee runs. Soft, breathable fabric ensures all-day wear, while the bold graphic adds a playful, pop-culture vibe. Pair it with high-waisted jeans or shorts for a trendy, effortless look.<br><br></p>
<ul>
<li data-start=""539"" data-end=""584"">
<p data-start=""541"" data-end=""584"">Material: 100% Cotton (soft &amp; breathable)</p>
</li>
<li data-start=""585"" data-end=""623"">
<p data-start=""587"" data-end=""623"">Fit: Oversized, cropped silhouette</p>
</li>
<li data-start=""624"" data-end=""655"">
<p data-start=""626"" data-end=""655"">Neckline: Classic crew neck</p>
</li>
<li data-start=""656"" data-end=""681"">
<p data-start=""658"" data-end=""681"">Sleeve: Short sleeves</p>
</li>
<li data-start=""682"" data-end=""734"">
<p data-start=""684"" data-end=""734"">Styling: Perfect for casual and streetwear looks</p>
</li>
<li data-start=""735"" data-end=""778"">
<p data-start=""737"" data-end=""778"">Care: Machine wash cold, tumble dry low</p>
</li>
</ul>",TacT Lifestyle,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",true,Size,s,product.metafields.shopify.size,,,,,,,,500.0,shopify,1,deny,manual,640.00,799.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0621/4248/0454/files/Central_Perk_Oversized_Cropped_Tee.jpg?v=1755528656,1,Central Perk  Oversized Cropped Tee wore by women.,false,Central Perk Regular Cropped Tee - TacT Lifestyle,"Show off your love for the iconic coffeehouse with the Central Perk Oversized Cropped Tee. This relaxed-fit, cropped design offers both comfort and  - TacT Lifestyle",,,adult,,,,,,,,,,'1,adults,,black; white,cotton,crew,s; m; l; xl,short,female,crop-top,,,,,,kg,,,active
central-perk-oversized-cropped-tee,,,,,,,,,m,,,,,,,,,500.0,shopify,2,deny,manual,640.00,799.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0621/4248/0454/files/Central_Perk_Oversized_Cropped_Tee-2.jpg?v=1755370699,2,Central Perk Regular Cropped Tee TacT Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
